route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,ticketing_deep_link_id
BW2,Tije,BW2,Monas Explorer,Bus Wisata,3,,FFB6DB,000000,,tdl-tj
8K,Tije,8K,Batusari - Grogol,Angkutan Umum Integrasi,3,,DD6AAB,000000,,tdl-tj
1W,Tije,1W,Blok M - Ancol,Angkutan Umum Integrasi,3,,D65E62,000000,,tdl-tj
11W,Tije,11W,St. Klender - Pulo Gadung via JIEP,Angkutan Umum Integrasi,3,,504f92,FFFFFF,,tdl-tj
4K,Tije,4K,Pulo Gadung - Kejaksaan Agung,Angkutan Umum Integrasi,3,,512C62,FFFFFF,,tdl-tj
JAK.79,Tije,JAK.79,Cengkareng - Tubagus Angke,Mikrotrans,3,,00609C,FFFFFF,,tdl-tj
21ST,Tije,21ST,Shuttle Senen,Angkutan Umum Integrasi,3,,D46425,000000,,tdl-tj
JAK.42A,Tije,JAK.42A,Pondok Kelapa - Kalimalang,Mikrotrans,3,,00609C,FFFFFF,,tdl-tj
2P,Tije,2P,Stasiun Gondangdia - Pasar Senen,Angkutan Umum Integrasi,3,,54659C,FFFFFF,,tdl-tj
JAK.107,Tije,JAK.107,Jembatan Garden - Puri Beta,Mikrotrans,3,,00609c,FFFFFF,,tdl-tj
T31,Tije,T31,PIK 2 - Blok M,Transjabodetabek,3,,ffff6d,000000,,tdl-tj
B51,Tije,B51,Cikarang - Cawang,Transjabodetabek,3,,ffff6d,000000,,tdl-tj
8N,Tije,8N,Kebayoran - Petamburan via Asia Afrika,Angkutan Umum Integrasi,3,,dd6aab,000000,,tdl-tj
P11,Tije,P11,Bogor - Blok M,Transjabodetabek,3,,ffff6d,000000,,tdl-tj
B41,Tije,B41,Vida Bekasi - Cawang Sentral via Jatiasih,Transjabodetabek,3,,ffff6d,000000,,tdl-tj
S61,Tije,S61,Alam Sutera - Blok M,Transjabodetabek,3,,ffff6d,000000,,tdl-tj
D41,Tije,D41,Sawangan - Lebak Bulus via Tol Desari,Transjabodetabek,3,,ffff6d,000000,,tdl-tj
JJF1,Tije,JJF1,Shuttle Java Jazz Festival 2026: Lebak Bulus,Royaltrans,3,,9c4782,FFFFFF,,tdl-tj
JJF2,Tije,JJF2,Shuttle Java Jazz Festival 2026: Gambir,Royaltrans,3,,9c4782,FFFFFF,,tdl-tj
JJF3,Tije,JJF3,Shuttle Java Jazz Festival 2026: BSD,Royaltrans,3,,9c4782,FFFFFF,,tdl-tj
JJF4,Tije,JJF4,Shuttle Java Jazz Festival 2026: TMII,Royaltrans,3,,9c4782,FFFFFF,,tdl-tj
JJF5,Tije,JJF5,Shuttle Java Jazz Festival 2026: Tanjung Duren,Royaltrans,3,,9c4782,FFFFFF,,tdl-tj
JJF6,Tije,JJF6,Shuttle Java Jazz Festival 2026: Alam Sutera,Royaltrans,3,,9c4782,FFFFFF,,tdl-tj
JJF7,Tije,JJF7,Shuttle Java Jazz Festival 2026: Bandara Soekarno-Hatta,Royaltrans,3,,9c4782,FFFFFF,,tdl-tj
10,Tije,10,Tanjung Priok - PGC,BRT,3,,9b1f21,FFFFFF,,tdl-tj
JAK.78A,Tije,JAK.78A,Benda - Cengkareng Timur,Mikrotrans,3,,00609c,FFFFFF,,tdl-tj
B25,Tije,B25,Bekasi - Dukuh Atas,Transjabodetabek,3,,ffff6d,000000,,tdl-tj
JAK.78B,Tije,JAK.78B,Jembatan Tiga - Teluk Gong,Mikrotrans,3,,00609c,FFFFFF,,tdl-tj
JAK.28,Tije,JAK.28,Pasar Rebo - St. LRT Harjamukti via Bulak Sereh,Mikrotrans,3,,00609C,FFFFFF,,tdl-tj
JAK.73,Tije,JAK.73,Pasar Rebo - St. LRT Harjamukti via Jln. Kiwi,Mikrotrans,3,,00609C,FFFFFF,,tdl-tj
11C,Tije,11C,Rusun Pulo Gebang - Penggilingan,Rusun,3,,717092,FFFFFF,,tdl-tj
13,Tije,13,Ciledug - Tegal Mampang,BRT,3,,7A357B,FFFFFF,,tdl-tj
2,Tije,2,Pulo Gadung - Monumen Nasional,BRT,3,,2F489C,FFFFFF,,tdl-tj
