ticketing_stop_id,stop_id,agency_id
ts-H00240P,G00511,Tije
ts-H00159P,P00289,Tije
ts-H00240P,G00511,Tije
ts-H00159P,P00289,Tije
ts-H00240P,G00511,Tije
ts-H00240P,G00511,Tije
ts-H00159P,P00289,Tije
ts-H00240P,G00755,Tije
ts-H00051P,G00509,Tije
ts-H00165P,G00503,Tije
ts-H00261S,G00500,Tije
ts-H00175P,G00497,Tije
ts-H00233P,G00494,Tije
ts-H00263P,G00489,Tije
ts-H00032P,G00485,Tije
ts-H00033P,G00479,Tije
ts-H00188P,G00477,Tije
ts-H00100P,G00473,Tije
ts-H00160P,G00469,Tije
ts-H00256P,G00465,Tije
ts-H00147P,G00318,Tije
ts-H00196P,G00316,Tije
ts-H00056P,G00314,Tije
ts-H00239S,G00313,Tije
ts-H00096P,G00308,Tije
ts-H00096P,G00308,Tije
ts-H00238S,G00312,Tije
ts-H00056P,G00315,Tije
ts-H00196P,G00317,Tije
ts-H00147P,G00319,Tije
ts-H00256P,G00463,Tije
ts-H00160P,G00467,Tije
ts-H00100P,G00471,Tije
ts-H00188P,G00475,Tije
ts-H00033P,G00481,Tije
ts-H00032P,G00483,Tije
ts-H00263P,G00487,Tije
ts-H00233P,G00492,Tije
ts-H00175P,G00496,Tije
ts-H00260S,G00499,Tije
ts-H00165P,G00505,Tije
ts-H00051P,G00507,Tije
ts-H00240P,G00755,Tije
ts-H00240P,G00511,Tije
ts-H00134P,G00240,Tije
ts-H00072P,G00238,Tije
ts-H00088P,G00236,Tije
ts-H00142P,G00234,Tije
ts-H00092P,G00120,Tije
ts-H00155P,G00122,Tije
ts-H00170P,G00166,Tije
ts-H00201P,G00400,Tije
ts-H00250P,G00398,Tije
ts-H00209S,G00437,Tije
ts-H00224S,G00434,Tije
ts-H00036C,G00723,Tije
ts-H00219S,G00080,Tije
ts-H00067P,G00014,Tije
ts-H00023P,G00694,Tije
ts-H00023P,G00695,Tije
ts-H00067P,G00015,Tije
ts-H00218S,G00077,Tije
ts-H00036C,G00725,Tije
ts-H00220S,G00433,Tije
ts-H00204S,G00436,Tije
ts-H00250P,G00397,Tije
ts-H00201P,G00399,Tije
ts-H00170P,G00163,Tije
ts-H00155P,G00121,Tije
ts-H00092P,G00117,Tije
ts-H00142P,G00233,Tije
ts-H00088P,G00235,Tije
ts-H00072P,G00237,Tije
ts-H00134P,G00239,Tije
ts-H00240P,G00511,Tije
ts-H00240P,G00511,Tije
ts-H00134P,G00240,Tije
ts-H00072P,G00238,Tije
ts-H00088P,G00236,Tije
ts-H00142P,G00234,Tije
ts-H00092P,G00120,Tije
ts-H00155P,G00122,Tije
ts-H00170P,G00166,Tije
ts-H00201P,G00400,Tije
ts-H00250P,G00398,Tije
ts-H00209S,G00437,Tije
ts-H00224S,G00434,Tije
ts-H00036C,G00723,Tije
ts-H00036C,G00725,Tije
ts-H00220S,G00433,Tije
ts-H00204S,G00436,Tije
ts-H00250P,G00397,Tije
ts-H00201P,G00399,Tije
ts-H00170P,G00163,Tije
ts-H00155P,G00121,Tije
ts-H00092P,G00117,Tije
ts-H00142P,G00233,Tije
ts-H00088P,G00235,Tije
ts-H00072P,G00237,Tije
ts-H00134P,G00239,Tije
ts-H00240P,G00511,Tije
ts-H00240P,G00511,Tije
ts-H00134P,G00240,Tije
ts-H00072P,G00238,Tije
ts-H00088P,G00236,Tije
ts-H00142P,G00234,Tije
ts-H00092P,G00120,Tije
ts-H00155P,G00122,Tije
ts-H00170P,G00166,Tije
ts-H00201P,G00400,Tije
ts-H00250P,G00398,Tije
ts-H00209S,G00437,Tije
ts-H00224S,G00434,Tije
ts-H00036C,G00723,Tije
ts-H00219S,G00080,Tije
ts-H00067P,G00014,Tije
ts-H00023P,G00694,Tije
ts-H00023P,G00695,Tije
ts-H00067P,G00015,Tije
ts-H00218S,G00077,Tije
ts-H00036C,G00725,Tije
ts-H00220S,G00433,Tije
ts-H00204S,G00436,Tije
ts-H00250P,G00397,Tije
ts-H00201P,G00399,Tije
ts-H00170P,G00163,Tije
ts-H00155P,G00121,Tije
ts-H00092P,G00117,Tije
ts-H00142P,G00233,Tije
ts-H00088P,G00235,Tije
ts-H00072P,G00237,Tije
ts-H00134P,G00239,Tije
ts-H00240P,G00511,Tije
ts-H00240P,G00511,Tije
ts-H00051P,G00509,Tije
ts-H00165P,G00503,Tije
ts-H00261S,G00500,Tije
ts-H00175P,G00497,Tije
ts-H00233P,G00494,Tije
ts-H00263P,G00489,Tije
ts-H00032P,G00485,Tije
ts-H00033P,G00479,Tije
ts-H00188P,G00477,Tije
ts-H00100P,G00473,Tije
ts-H00160P,G00469,Tije
ts-H00256P,G00465,Tije
ts-H00002P,G00460,Tije
ts-H00037C,G00459,Tije
ts-H00156P,G00456,Tije
ts-H00039P,G00455,Tije
ts-H00162P,G00453,Tije
ts-H00162P,G00452,Tije
ts-H00039P,G00454,Tije
ts-H00156P,G00457,Tije
ts-H00037C,G00458,Tije
ts-H00002P,G00461,Tije
ts-H00256P,G00463,Tije
ts-H00160P,G00467,Tije
ts-H00100P,G00471,Tije
ts-H00188P,G00475,Tije
ts-H00033P,G00481,Tije
ts-H00032P,G00483,Tije
ts-H00263P,G00487,Tije
ts-H00233P,G00492,Tije
ts-H00175P,G00496,Tije
ts-H00260S,G00499,Tije
ts-H00165P,G00505,Tije
ts-H00051P,G00507,Tije
ts-H00240P,G00511,Tije
ts-H00172P,G00328,Tije
ts-H00013P,G00329,Tije
ts-H00030P,G00722,Tije
ts-H00029P,G00448,Tije
ts-H00162P,G00452,Tije
ts-H00039P,G00454,Tije
ts-H00156P,G00457,Tije
ts-H00037C,G00458,Tije
ts-H00002P,G00461,Tije
ts-H00256P,G00463,Tije
ts-H00160P,G00467,Tije
ts-H00100P,G00471,Tije
ts-H00188P,G00475,Tije
