trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,ticketing_trip_id,ticketing_type
9-P23,9,SH,Simpang Kuningan dan Pinang Ranti,Pinang Ranti - Simpang Kuningan - Pinang Ranti,0,,9-P23_shp,,,,0
9-P24,9,SH,Cawang Sentral dan Pluit,Pluit - Cawang Sentral - Pluit,0,,9-P24_shp,,,,0
JAK.74-R01,JAK.74,SH,Rawamangun,Cipinang Muara - Rawamangun,0,,JAK.74-R01_shp,,,,0
6A-L03,6A,SH,Tosari dan Ragunan via Semanggi,Ragunan - Tosari - Ragunan via Semanggi,0,,6A-L03_shp,,,,0
4-R27,4,SH,Pulo Gadung,Galunggung - Pulo Gadung,1,,18v0,,,,0
13E-R03,13E,HL,Flyover Kuningan,Puri Beta - Flyover Kuningan,0,,0q93,,,,0
4-R26,4,SH,Galunggung via Saharjo,Pulo Gadung - Galunggung via Saharjo,0,,cj8g,,,,0
L13E-L07,L13E,HK,Flyover Kuningan dan Puri Beta (Express),Puri Beta - Flyover Kuningan - Puri Beta (Express),0,,vnvx,,,,0
L13E-R11,L13E,HK,Puri Beta (Express),Flyover Kuningan - Puri Beta (Express),1,,twyi,,,,0
3A-L03,3A,SH,Kalideres dan Rusun Pesakih,Rusun Pesakih - Kalideres - Rusun Pesakih,0,,krjk,,,,0
8-P26,8,SH,Pasar Baru,Damai - Pasar Baru,1,,fbqv,,,,0
3A-L01,3A,SH,Kalideres dan Rusun Pesakih,Rusun Pesakih - Kalideres - Rusun Pesakih,0,,3A-L01_shp,,,,0
JAK.74-R02,JAK.74,SH,Cipinang Muara,Rawamangun - Cipinang Muara,1,,JAK.74-R02_shp,,,,0
JAK.48A-R02,JAK.48A,SH,Stasiun Tebet,Rusun Karet Tengsin - Stasiun Tebet,1,,JAK.48A-R02_shp,,,,0
4-R28,4,SH,Galunggung,Pulo Gadung - Galunggung,0,,fcok,,,,0
4-R30,4,SH,Galunggung via Kayu Putih,Pulo Gadung - Galunggung via Kayu Putih,0,,ytwo,,,,0
1M-R02,1M,SH,Meruya,Blok M - Meruya,1,,1M-R02_shp,,,,0
6M-R07,6M,SH,Blok M,Stasiun Manggarai - Blok M,0,,wmul,,,,0
6M-R08,6M,SH,Stasiun Manggarai,Blok M - Stasiun Manggarai,1,,z4s8,,,,0
1P-R03,1P,SH,Blok M,Senen - Blok M,0,,1P-R03_shp,,,,0
6U-R03,6U,SH,Pasar Minggu,Blok M - Pasar Minggu,0,,2kih,,,,0
9-R05,9,SH,Pinang Ranti via Tol Jembatan Besi,Pluit - Pinang Ranti via Tol Jembatan Besi,1,,zmsb,,,,0
9-P26,9,SH,Semanggi dan Pinang Ranti,Pinang Ranti - Semanggi - Pinang Ranti,0,,9-P26_shp,,,,0
B25-L05,B25,SH,Galunggung dan Bekasi,Bekasi - Galunggung - Bekasi,0,,n9aa,,,,0
B25-R05,B25,SH,Galunggung,Bekasi - Galunggung,0,,gqei,,,,0
B25-R06,B25,SH,Bekasi,Galunggung - Bekasi,1,,b094,,,,0
JAK.86-L03,JAK.86,SH,Term. Manggarai dan Term. Rawamangun,Term. Rawamangun - Term. Manggarai - Term. Rawamangun,0,,7lbc,,,,0
JAK.86-R04,JAK.86,SH,Term. Rawamangun,Term. Manggarai - Term. Rawamangun,1,,zuac,,,,0
JAK.17-R01,JAK.17,SH,Senen,Pulo Gadung - Senen,0,,JAK.17-R01_shp,,,,0
9-P29,9,SH,Pluit,Cawang Sentral - Pluit,0,,nc7v,,,,0
JAK.85-R02,JAK.85,SH,Bintara,Cipinang Indah - Bintara,1,,JAK.85-R02_shp,,,,0
JAK.12-R02,JAK.12,SH,Tanah Abang Via Pos Pengumben,Kebayoran Lama - Tanah Abang Via Pos Pengumben,1,,JAK.12-R02_shp,,,,0
JAK.93-L03,JAK.93,HM,Kebayoran Lama dan Jeruk Purut,Jeruk Purut - Kebayoran Lama - Jeruk Purut,0,,jmlc,,,,0
1K-R02,1K,HK,Cibubur,Blok M - Cibubur,1,,1K-R02_shp,,,,0
5C-P10,5C,SH,Juanda,Kampung Melayu - Juanda,0,,cxzc,,,,0
JAK.107-R02,JAK.107,SH,Garden,Puri Beta - Jembatan Garden,1,,54p3,,,,0
JAK.120-L03,JAK.120,SH,Term. Muara Angke dan JIS,JIS - Term. Muara Angke - JIS,0,,qr3h,,,,0
JAK.23-L01,JAK.23,SH,Pisangan Baru dan Senen,Senen - Pisangan Baru - Senen,0,,JAK.23-L01_shp,,,,0
JAK.107-R01,JAK.107,SH,Puri Beta,Jembatan Garden - Puri Beta,0,,ccie,,,,0
5C-P09,5C,SH,Kampung Melayu,Juanda - Kampung Melayu,1,,mkgd,,,,0
JAK.23-L02,JAK.23,SH,Pisangan Baru dan Senen via TL Pramuka,Senen - Pisangan Baru - Senen via TL Pramuka,0,,fnch,,,,0
9-R01,9,SH,Pluit,Pinang Ranti - Pluit,0,,9-R01_shp,,,,0
9-R02,9,SH,Pinang Ranti,Pluit - Pinang Ranti,1,,9-R02_shp,,,,0
JAK.23-R02,JAK.23,SH,Senen,Pisangan Baru - Senen,1,,JAK.23-R02_shp,,,,0
S11-R05,S11,SH,Jelambar,BSD - Jelambar,0,,S11-R05_shp,,,,0
JAK.28-R05,JAK.28,SH,St. LRT Harjamukti,Pasar Rebo - St. LRT Harjamukti,0,,l710,,,,0
1A-R06,1A,SH,Balai Kota via Tol Ir. Sedyatmo,Pantai Maju - Balai Kota via Tol Ir. Sedyatmo,0,,1A-R06_shp,,,,0
JAK.73-R05,JAK.73,SH,Pasar Rebo,Jambore - Pasar Rebo,0,,j64b,,,,0
JAK.49-R07,JAK.49,SH,Cipulir,Lebak Bulus - Cipulir,1,,qspu,,,,0
